DCM;-;0,909;00:00,0;;;;;;;;;;KNN;11;0,997;00:16,0;;KNN;11;0,994;00:15,9;;;;;;;;;;;;;;MLP;|[17; 17]|;0,998;17:10,4;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;1;0,99752;0:08:18.426604;;;;;;
DCM;-;0,914;00:00,0;;;;;;;;;;KNN;11;0,998;00:16,0;;KNN;11;0,996;00:15,8;;;;;;;;;;;;;;MLP;|[17; 17]|;0,997;17:14,9;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;2;0,99748;0:08:20.482853;;;;;;
DCM;-;0,913;00:00,0;;;;;;;;;;KNN;11;0,998;00:15,6;;KNN;11;0,997;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;3;0,9974;0:08:18.795365;;;;;;
DCM;-;0,91;00:00,0;;;;;;;;;;KNN;11;0,998;00:15,7;;KNN;11;0,995;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;4;0,99724;0:08:17.813905;;;;;;
DCM;-;0,904;00:00,0;;;;;;;;;;KNN;11;0,995;00:16,1;;KNN;11;0,998;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;5;0,9972;0:08:21.909981;;;;;;
DCM;-;0,905;00:00,0;;;;;;;;;;KNN;11;0,997;00:16,1;;KNN;11;0,998;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;6;0,99756;0:08:26.602711;;;;;;
DCM;-;0,902;00:00,0;;;;;;;;;;KNN;11;0,995;00:16,0;;KNN;11;0,997;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;7;0,9976;0:08:22.768872;;;;;;
DCM;-;0,91;00:00,0;;;;;;;;;;KNN;11;0,997;00:16,0;;KNN;11;0,997;00:15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;8;0,99736;0:08:25.468744;;;;;;
DCM;-;0,894;00:00,0;;;;;;;;;;KNN;11;0,999;00:16,0;;KNN;11;0,999;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;9;0,99712;0:08:26.834252;;;;;;
DCM;-;0,896;00:00,0;;;;;;;;;;KNN;11;0,997;00:16,1;;KNN;11;0,992;00:16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;10;0,99748;0:08:22.426075;;;;;;
DCM;-;0,905;00:00,0;;;;;;;;;;KNN;11;0,997;00:16,3;;KNN;11;0,998;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;11;0,99712;0:08:24.461449;;;;;;
DCM;-;0,91;00:00,0;;;;;;;;;;KNN;11;0,997;00:16,0;;KNN;11;0,994;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;12;0,99696;0:08:16.164765;;;;;;
DCM;-;0,91;00:00,1;;;;;;;;;;KNN;11;0,997;00:16,0;;KNN;11;0,998;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;13;0,99724;0:08:20.370097;;;;;;
DCM;-;0,906;00:00,0;;;;;;;;;;KNN;11;0,995;00:16,0;;KNN;11;0,994;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;14;0,9974;0:08:19.521640;;;;;;
DCM;-;0,903;00:00,0;;;;;;;;;;KNN;11;0,993;00:16,2;;KNN;11;0,994;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;15;0,99724;0:08:25.690298;;;;;;
DCM;-;0,915;00:00,0;;;;;;;;;;KNN;11;0,997;00:15,9;;KNN;11;0,994;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;16;0,997;0:08:17.144109;;;;;;
DCM;-;0,909;00:00,0;;;;;;;;;;KNN;11;0,997;00:15,9;;KNN;11;0,997;00:16,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;17;0,99728;0:08:21.137045;;;;;;
DCM;-;0,899;00:00,0;;;;;;;;;;KNN;11;0,996;00:15,9;;KNN;11;0,999;00:15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;18;0,9972;0:08:17.254585;;;;;;
DCM;-;0,913;00:00,0;;;;;;;;;;KNN;11;1;00:16,0;;KNN;11;0,996;00:15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;19;0,99704;0:08:26.328305;;;;;;
DCM;-;0,922;00:00,0;;;;;;;;;;KNN;11;0,997;00:15,8;;KNN;11;0,997;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;20;0,99728;0:08:21.230851;;;;;;
DCM;-;0,911;00:00,0;;;;;;;;;;KNN;11;0,996;00:16,0;;KNN;11;0,997;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;21;0,99688;0:08:21.078492;;;;;;
DCM;-;0,914;00:00,0;;;;;;;;;;KNN;11;0,997;00:15,8;;KNN;11;0,995;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;22;0,99728;0:08:24.636937;;;;;;
DCM;-;0,902;00:00,0;;;;;;;;;;KNN;11;0,998;00:16,1;;KNN;11;0,995;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;23;0,99748;0:08:23.265509;;;;;;
DCM;-;0,919;00:00,0;;;;;;;;;;KNN;11;0,995;00:15,9;;KNN;11;0,996;00:15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;24;0,99768;0:08:21.171486;;;;;;
DCM;-;0,903;00:00,0;;;;;;;;;;KNN;11;0,995;00:15,9;;KNN;11;0,997;00:15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;25;0,9972;0:08:21.659068;;;;;;
DCM;-;0,912;00:00,0;;;;;;;;;;KNN;11;0,999;00:16,0;;KNN;11;0,991;00:16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;26;0,99736;0:08:31.089987;;;;;;
